,concat_index,Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM,season_year
0,0,Byron Murphy,48.0,1,48,0,1,1,48,0,0,2021
1,1,Brandon Powell,22.2,6,133,1,2,1,61,4,0,2021
2,2,C.J. Board,16.5,2,33,0,1,0,26,5,0,2021
3,3,Alex Bachman,16.0,1,16,0,0,0,16,1,0,2021
4,4,Travis Benjamin,15.7,3,47,0,1,0,22,2,0,2021
5,5,Devin Duvernay,13.8,26,360,0,6,1,42,24,1,2021
6,6,Mike Hughes,13.6,5,68,0,1,0,37,5,0,2021
7,7,Braxton Berrios,13.4,15,201,0,1,0,28,25,0,2021
8,8,Dazz Newsome,12.5,6,75,0,1,0,28,2,0,2021
9,9,Jakeem Grant,12.4,25,309,1,4,1,97,2,1,2021
10,10,Mecole Hardman,12.1,13,157,0,3,0,31,5,1,2021
11,11,Kendall Hinton,12.0,2,24,0,0,0,15,2,0,2021
12,12,Mohamed Sanu,12.0,2,24,0,0,0,13,3,0,2021
13,13,Olamide Zaccheaus,12.0,3,36,0,0,0,17,2,0,2021
14,14,Easop Winston,11.9,10,119,0,1,0,34,5,0,2021
15,15,Gunner Olszewski,11.9,26,309,0,4,0,27,10,0,2021
16,16,Kalif Raymond,11.2,21,236,0,2,1,48,15,0,2021
17,17,David Moore,11.0,3,33,0,1,0,21,1,0,2021
18,18,Trenton Irwin,10.3,3,31,0,0,0,15,4,0,2021
19,19,Hunter Renfrow,10.1,30,303,0,3,1,41,20,3,2021
20,20,Chester Rogers,10.1,29,293,0,2,1,55,20,2,2021
21,21,J.J. Koski,10.0,2,20,0,0,0,13,1,0,2021
22,22,CeeDee Lamb,9.9,14,139,0,1,0,21,9,0,2021
23,23,Jaydon Mickens,9.7,14,136,0,1,1,48,11,0,2021
24,24,Alvin Kamara,9.7,3,29,0,0,0,14,0,0,2021
25,0,Ray-Ray McCloud,9.7,38,367,0,2,0,23,12,1,2021
26,1,Deonte Harty,9.5,21,199,0,2,0,26,15,1,2021
27,2,Marquez Stevenson,9.4,14,132,0,0,0,19,1,1,2021
28,3,Micah Hyde,9.2,4,37,0,0,0,17,0,0,2021
29,4,Desmond King,9.1,17,154,0,1,0,20,7,0,2021
30,5,D.J. Moore,9.0,1,9,0,0,0,9,0,0,2021
31,6,Rondale Moore,9.0,19,171,0,1,0,27,10,2,2021
32,7,Alex Erickson,8.9,23,204,0,1,0,22,30,0,2021
33,8,Jaylen Waddle,8.8,4,35,0,0,0,15,3,1,2021
34,9,Freddie Swain,8.6,22,189,0,2,0,22,22,1,2021
35,10,Diontae Spencer,8.6,24,206,0,1,0,25,12,2,2021
36,11,DeAndre Carter,8.4,16,134,0,0,0,16,19,1,2021
37,12,Dede Westbrook,8.3,22,183,0,1,1,45,18,1,2021
38,13,Amari Rodgers,8.3,20,166,0,1,0,23,8,1,2021
39,14,Pharoh Cooper,8.2,11,90,0,0,0,17,10,0,2021
40,15,Nyheim Hines,8.1,21,170,0,0,0,16,14,2,2021
41,16,Greg Dortch,8.0,3,24,0,0,0,17,0,0,2021
42,17,Cooper Kupp,8.0,1,8,0,0,0,8,20,0,2021
43,18,Donovan Peoples-Jones,7.9,12,95,0,1,0,20,3,0,2021
44,19,Kenjon Barner,7.8,6,47,0,1,0,20,1,0,2021
45,20,Isaiah McKenzie,7.7,19,147,0,2,0,26,6,1,2021
46,21,Darius Phillips,7.7,23,177,0,0,0,17,12,2,2021
47,22,Jevon Holland,7.7,12,92,0,0,0,16,14,1,2021
48,23,Avery Williams,7.6,20,153,0,1,0,23,12,0,2021
49,24,Jaelon Darden,7.5,19,142,0,1,1,43,5,0,2021
50,0,Trent Taylor,7.4,7,52,0,0,0,12,5,0,2021
51,1,Jalen Reagor,7.3,31,227,0,3,0,39,15,1,2021
